title,company,location,date,link,image_url,image_filename
Business Data Analyst,hackajob,"New York, United States",1 day ago,https://www.linkedin.com/jobs/view/business-data-analyst-at-hackajob-4334295136?position=11&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=J%2Bm5PcCGy%2FpXnVYBfdKJGw%3D%3D,https://media.licdn.com/dms/image/v2/D560BAQF6HYG6dvSK0Q/company-logo_100_100/company-logo_100_100/0/1683088716419/hackajob_logo?e=2147483647&v=beta&t=ZrLVrP8p4YgmECct6BRcAFp6DcEmFZGqFJoXL4JCKzA,hackajob_Business_Data_Analyst_10.jpg
Data Analyst,Associate Staffing,"San Diego, CA",2 days ago,https://www.linkedin.com/jobs/view/data-analyst-at-associate-staffing-4333982868?position=12&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=I6bvfy6%2BtJRh0AO%2BiSUTkw%3D%3D,https://media.licdn.com/dms/image/v2/D4E0BAQEi6xeK_yCdmg/company-logo_100_100/company-logo_100_100/0/1738021979554/associate_staffing_llc_logo?e=2147483647&v=beta&t=TKlGHQBVk09b7XuHvsQ9shmt_YS2-8YN750KWiCbIi4,Associate_Staffing_Data_Analyst_11.jpg
Forecasting Analyst,Carters Inc.,"Atlanta, GA",2 days ago,https://www.linkedin.com/jobs/view/forecasting-analyst-at-carters-inc-4333858772?position=13&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=7HPb9bPKkqtRrb%2FbwXVrlA%3D%3D,https://media.licdn.com/dms/image/v2/C560BAQGEtL-xqfQmWQ/company-logo_100_100/company-logo_100_100/0/1658431444026/carters_oshkosh_bgosh_logo?e=2147483647&v=beta&t=_DJ93ukoDMwNTGpoLDylYLh_jE2xFBjw8LG1iUeUNFQ,Carters_Inc_Forecasting_Analyst_12.jpg
Data Analyst,Insight Global,"Brentwood, TN",2 days ago,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-4320395122?position=14&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=IO1GOTHVWqADNGVYC205AA%3D%3D,https://media.licdn.com/dms/image/v2/C560BAQGUNIyRZFaj0g/company-logo_100_100/company-logo_100_100/0/1657049194702/insight_global_logo?e=2147483647&v=beta&t=DgPf2KH2qEgV2aPJ2mFY1olLW0chPXs0DYd3jAp5tQ0,Insight_Global_Data_Analyst_13.jpg
Data Analyst,Numero Data,"Herndon, VA",3 days ago,https://www.linkedin.com/jobs/view/data-analyst-at-numero-data-4320464200?position=15&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=mvjD1%2B%2Bv56f2D5lME059mA%3D%3D,https://media.licdn.com/dms/image/v2/C4D0BAQF6mtaTgaqL1w/company-logo_100_100/company-logo_100_100/0/1630473297242/numero_data_logo?e=2147483647&v=beta&t=r9rWpMf-1i7nzmF65X3qHBi2SVs_kGwvkxjiWfKpE_0,Numero_Data_Data_Analyst_14.jpg
Data Analyst,Corteva Agriscience,"Des Moines, IA",1 day ago,https://www.linkedin.com/jobs/view/data-analyst-at-corteva-agriscience-4337468325?position=16&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=jRAaQfCvAzyY0W6SNdm4eA%3D%3D,https://media.licdn.com/dms/image/v2/C4D0BAQFKhO2f3-RNEA/company-logo_100_100/company-logo_100_100/0/1630548475463/corteva_logo?e=2147483647&v=beta&t=H-GKN2tKXkZR6cMd_C5ygE8qXuAWuI8DUU745-gKdHA,Corteva_Agriscience_Data_Analyst_15.jpg
Analyst - Data Analytics,American Express,"New York, NY",1 day ago,https://www.linkedin.com/jobs/view/analyst-data-analytics-at-american-express-4334251734?position=17&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=sGXUiYS1SF2K%2BhxU60Ze5g%3D%3D,https://media.licdn.com/dms/image/v2/C4D0BAQGRhsociEn4gQ/company-logo_100_100/company-logo_100_100/0/1631367875582?e=2147483647&v=beta&t=bk_i8KnJwZyUrbBXvWK0NMb6W3nPq64rupEGTrKvxYU,American_Express_Analyst_-_Data_Analytics_16.jpg
"Data & Analytics, Junior Associate",Cadent,"New York, NY",2 days ago,https://www.linkedin.com/jobs/view/data-analytics-junior-associate-at-cadent-4333899367?position=18&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=MsX3PR26dyhvjgIzWAIg4A%3D%3D,https://media.licdn.com/dms/image/v2/D4E0BAQGHD3IbmTSy6w/company-logo_100_100/B4EZZbcIuPHkAQ-/0/1745290824889/wearecadent_logo?e=2147483647&v=beta&t=FBISN4gAuUbqInlEhMDT1AAxwja7EEey1fdaSitYxaE,Cadent_Data__Analytics_Junior_Associate_17.jpg
Data Analyst,7N,"West Chester, PA",2 days ago,https://www.linkedin.com/jobs/view/data-analyst-at-7n-4333990050?position=19&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=XgV%2Fx5ZDCpfSqq0px6Y6gA%3D%3D,https://media.licdn.com/dms/image/v2/D4D0BAQFcd2AampoXSg/company-logo_100_100/B4DZexT8bVHMAQ-/0/1751026485318/7n_logo?e=2147483647&v=beta&t=GFoDfI76hc7emdXkOfmnrNPBjpbuumm1Ux1JFL9sNsA,7N_Data_Analyst_18.jpg
Data Analyst,Blue Elephant Media,United States,2 days ago,https://www.linkedin.com/jobs/view/data-analyst-at-blue-elephant-media-4320474813?position=20&pageNum=0&refId=i6OfmEfIsLXxg5S6Si37lg%3D%3D&trackingId=T2%2BvtlaYt%2BuX8iitgONk5A%3D%3D,https://media.licdn.com/dms/image/v2/D560BAQHTnC8XPsHImQ/company-logo_100_100/company-logo_100_100/0/1732298336339/blue_elephant_media_agency_logo?e=2147483647&v=beta&t=i8xsqHMIF39DDv1ByG1H_RL5hZhOkCUlxN9nJWextyY,Blue_Elephant_Media_Data_Analyst_19.jpg
